6et1        82.3529% 0.813883359491 13
tata        82.3529% 0.876282085174 37
sinet        100% 0.811577712094 0
columbus        72.2222% 0.826978863481 28
geant5        64.7059% 0.805045420622 25
bandcon        100% 0.742870261387 1
bics        100% 0.793131517833 17
integra        81.25% 0.791759696468 16
rnp        100% 0.777777777778 3
sanet        100% 0.777319114292 0
dfn        100% 0.79648066838 2
surfnet        100% 0.768756484279 3
colt        100% 0.811577712094 2
evolink        100% 0.782428682712 1
