6et1        33.3333% 0.815224093498
tata        26.6667% 0.79579210381
sinet        28.5714% 0.742906660908
columbus        29.4118% 0.794235768863
geant5        38.4615% 0.838196601125
bandcon        46.1538% 0.759487585786
bics        46.6667% 0.764903505659
integra        46.1538% 0.769722436227
rnp        60% 0.719127549535
sanet        55.5556% 0.78534981638
dfn        40% 0.797517323773
surfnet        46.1538% 0.77447549584
colt        42.8571% 0.774400132134
evolink        46.6667% 0.774900652095
